name,type,city,internship_open,paid,monthly_stipend_eur,response_status,address,source_url,last_checked,notes,lat,lon,loc
European Court of Auditors,EU institution,Luxembourg,yes,yes,1700.00,classified,"12 Rue Alcide De Gasperi, 1615 Luxembourg",https://www.eca.europa.eu/en/traineeships,2026-06,Standard 1700; specialized AI track 2500; SAI track 1800. 6 months.,49.622796,6.15026,exact
EU Agency for Fundamental Rights (FRA),EU agency,Vienna,yes,yes,1641.22,classified,"Schwarzenbergplatz 11, 1040 Vienna",https://fra.europa.eu/en/vacancy/2026/traineeship-call-2026,2026-06,2026 cycle 1641.22 (up from 1574 in 2025). 10 months. Non-Vienna coefficient-adjusted.,48.194885,16.382568,exact
European Medicines Agency (EMA),EU agency,Amsterdam,yes,yes,2049.77,classified,"Domenico Scarlattilaan 6, 1083 HS Amsterdam",https://careers.ema.europa.eu,2026-06,10 months. Relocation assistance + 20 days paid leave.,52.337248,4.886219,exact
European Food Safety Authority (EFSA),EU agency,Parma,yes,yes,1463.00,classified,"Via Carlo Magno 1A, 43126 Parma",https://eu-careers.europa.eu/en/trainee/traineeships-efsa,2026-06,12 months (min 5). Telework up to 60%.,44.809894,10.321753,exact
EU Agency for Asylum (EUAA),EU agency,Valletta,yes,yes,1500.00,classified,"Winemakers Wharf, Grand Harbour Valletta MRS 1917",https://www.euaa.europa.eu/careers/traineeship,2026-06,6 months (max 12). Relocation support if >100km.,,,
EU Intellectual Property Office (EUIPO),EU agency,Alicante,yes,yes,1300.00,classified,"Avenida de Europa 4, 03008 Alicante",https://www.euipo.europa.eu/en/about-us/the-office/who-we-are/employer-of-choice/traineeships,2026-06,Pan-European Seal: 1300 Alicante / 1500 Brussels-Lux. Also unpaid post-experience roles.,38.314607,-0.518026,exact
EU Satellite Centre (SatCen),EU agency,Madrid,yes,yes,1200.00,classified,"Base Aerea de Torrejon, 28850 Torrejon de Ardoz, Madrid",https://www.satcen.europa.eu,2026-06,1200 + 206.89 transport allowance.,40.473582,-3.44846,exact
WWF European Policy Office,NGO,Brussels,yes,yes,1400.00,classified,"123 Rue du Commerce, 1000 Brussels",https://www.wwf.eu,2026-06,High performers may get 6-month follow-on contract at ~2600 gross.,50.845724,4.370598,exact
Transparency International EU,NGO,Brussels,yes,yes,1200.00,classified,"Rue du Commerce 31, 1000 Brussels",https://transparency.eu,2026-06,CIP contract. +148.73 remote allowance +20 internet +lunch vouchers 8/day +hospitalisation insurance.,50.84088,4.368066,exact
Transport & Environment (T&E),NGO,Brussels,yes,yes,1500.00,classified,"Rue Charles Martel 8, 1000 Brussels",https://jobs.transportenvironment.org,2026-06,Gross/month for continuous ~1-year contracts.,50.845584,4.380008,exact
Bruegel,think tank,Brussels,yes,yes,2200.00,classified,"Rue de la Charite 33, 1210 Brussels",https://www.bruegel.org/careers,2026-06,Premium tier 2200-2800; bypasses CIP minimums for quantitative talent.,50.847936,4.370965,exact
Centre for European Policy Studies (CEPS),think tank,Brussels,yes,yes,1200.00,classified,"Place du Congres 1, 1000 Brussels",https://www.ceps.eu,2026-06,CIP base standard.,50.849691,4.363441,exact
European Policy Centre (EPC),think tank,Brussels,yes,yes,950.00,classified,"Rue du Trone 14-16, 1000 Brussels",https://www.epc.eu,2026-06,Lowest observed stipend in sample. Verify.,50.839788,4.366496,exact
BusinessEurope,trade association,Brussels,yes,yes,1000.00,classified,"Avenue de Cortenbergh 168, 1000 Brussels",https://www.businesseurope.eu,2026-06,Range ~1000-1200.,50.845831,4.391256,exact
DIGITALEUROPE,trade association,Brussels,yes,yes,1200.00,classified,"Rue de la Science 37, B-1040 Brussels",https://www.digitaleurope.org,2026-06,Range 1200-1500 for 6-12 month policy fellowships.,50.843775,4.372278,exact
Eurochambres,trade association,Brussels,yes,unknown,,classified,"Avenue des Arts 19 A/D, B-1000 Brussels",https://www.eurochambres.eu,2026-06,Offers internships; pay not stated. Send questionnaire.,50.846792,4.369911,exact
FTI Consulting,consultancy,Brussels,yes,yes,,classified,"Avenue des Arts 56, 1000 Brussels",https://www.fticonsulting.com,2026-06,Paid but amount not stated. Client-facing probationary model.,50.841101,4.366713,exact
FleishmanHillard,consultancy,Brussels,yes,yes,1000.00,classified,"Rue Belliard 40, 1040 Brussels",https://fleishmanhillard.eu,2026-06,Hybrid work + formal training.,50.842105,4.371728,exact
Political Intelligence Brussels,consultancy,Brussels,yes,yes,1095.00,classified,Brussels (address unverified),https://www.political-intelligence.com,2026-06,Gross/month.,50.846737,4.352493,exact
Covington & Burling,law firm,Brussels,yes,yes,,classified,"Kunstlaan 44 Avenue des Arts, 1040 Brussels",https://www.cov.com,2026-06,Paid 6-month legal internship; amount not stated. High-retention pipeline.,50.842927,4.367681,exact
Cleary Gottlieb,law firm,Brussels,yes,yes,,classified,"Rue de la Loi 57, 1040 Brussels",https://www.clearygottlieb.com,2026-06,Paid; amount not stated.,50.834334,4.392075,exact
Egmont - Royal Institute for International Relations,think tank,Brussels,yes,unknown,,classified,"Rue des Petits Carmes 15, 1000 Brussels",https://www.egmontinstitute.be,2026-07,Seed org: hosts interns; pay and details to verify.,50.840317,4.358588,exact
Friends of Europe,think tank,Brussels,yes,unknown,,classified,,https://www.friendsofeurope.org,2026-07,Seed org: hosts interns; pay and details to verify.,,,
Carnegie Europe,think tank,Brussels,yes,unknown,,classified,"Rue du Congres 15, 1000 Brussels",https://carnegieeurope.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.849675,4.365077,exact
Wilfried Martens Centre for European Studies,think tank,Brussels,yes,unknown,,classified,"Rue du Commerce 20, 1000 Brussels",https://www.martenscentre.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.840095,4.367279,exact
Foundation for European Progressive Studies (FEPS),foundation,Brussels,yes,unknown,,classified,"Avenue des Arts 46, 1000 Brussels",https://feps-europe.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.842465,4.367508,exact
Institute for European Environmental Policy (IEEP),think tank,Brussels,yes,unknown,,classified,"Rue Joseph II 36-38, 1000 Brussels",https://ieep.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.845958,4.371519,exact
European Council on Foreign Relations (ECFR),think tank,Brussels,yes,unknown,,classified,,https://ecfr.eu,2026-07,Seed org: hosts interns; pay and details to verify.,,,
Centre for European Reform (CER),think tank,Brussels,yes,unknown,,classified,,https://www.cer.eu,2026-07,Seed org: hosts interns; pay and details to verify.,,,
Jacques Delors Institute,think tank,Brussels,yes,unknown,,classified,,https://institutdelors.eu,2026-07,Seed org: hosts interns; pay and details to verify.,,,
BEUC - The European Consumer Organisation,NGO,Brussels,yes,unknown,,classified,"Rue d'Arlon 80, 1040 Brussels",https://www.beuc.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.841923,4.373303,exact
European Environmental Bureau (EEB),NGO,Brussels,yes,unknown,,classified,"Rue des Deux Eglises 14-16, 1000 Brussels",https://eeb.org,2026-07,Seed org: hosts interns; pay and details to verify.,50.846527,4.3728,exact
Climate Action Network Europe (CAN Europe),NGO,Brussels,yes,unknown,,classified,"Rue d'Edimbourg 26, 1050 Brussels",https://caneurope.org,2026-07,Seed org: hosts interns; pay and details to verify.,50.837895,4.364323,exact
Greenpeace European Unit,NGO,Brussels,yes,unknown,,classified,"Rue Belliard 199, 1040 Brussels",https://www.greenpeace.org/eu-unit/,2026-07,Seed org: hosts interns; pay and details to verify.,50.839612,4.384345,exact
Amnesty International European Institutions Office,NGO,Brussels,yes,unknown,,classified,"Rue de Treves 35, 1040 Brussels",https://www.amnesty.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.84252,4.375128,exact
Oxfam EU,NGO,Brussels,yes,unknown,,classified,,https://www.oxfam.org,2026-07,Seed org: hosts interns; pay and details to verify.,,,
European Youth Forum,NGO,Brussels,yes,unknown,,classified,"Rue de l'Industrie 10, 1000 Brussels",https://www.youthforum.org,2026-07,Seed org: hosts interns; pay and details to verify.,50.84169,4.36944,exact
Social Platform,NGO,Brussels,yes,unknown,,classified,"Square de Meeus 18, 1050 Brussels",https://www.socialplatform.org,2026-07,Seed org: hosts interns; pay and details to verify.,50.839012,4.369794,exact
CONCORD Europe,NGO,Brussels,yes,unknown,,classified,"Rue de l'Industrie 10, 1000 Brussels",https://concordeurope.org,2026-07,Seed org: hosts interns; pay and details to verify.,50.84169,4.36944,exact
European Public Health Alliance (EPHA),NGO,Brussels,yes,unknown,,classified,"Rue de Treves 49-51, 1040 Brussels",https://epha.org,2026-07,Seed org: hosts interns; pay and details to verify.,50.842639,4.375071,exact
ClientEarth,NGO,Brussels,yes,unknown,,classified,,https://www.clientearth.org,2026-07,Seed org: hosts interns; pay and details to verify.,,,
Human Rights Watch (Brussels),NGO,Brussels,yes,unknown,,classified,,https://www.hrw.org,2026-07,Seed org: hosts interns; pay and details to verify.,,,
Eurelectric,trade association,Brussels,yes,unknown,,classified,"Boulevard de l'Imperatrice 66, 1000 Brussels",https://www.eurelectric.org,2026-07,Seed org: hosts interns; pay and details to verify.,50.848138,4.357548,exact
ACEA - European Automobile Manufacturers' Association,trade association,Brussels,yes,unknown,,classified,"Avenue des Nerviens 85, 1040 Brussels",https://www.acea.auto,2026-07,Seed org: hosts interns; pay and details to verify.,50.838349,4.38991,exact
Cefic - European Chemical Industry Council,trade association,Brussels,yes,unknown,,classified,"Rue Belliard 40, 1040 Brussels",https://cefic.org,2026-07,Seed org: hosts interns; pay and details to verify.,50.842105,4.371728,exact
FoodDrinkEurope,trade association,Brussels,yes,unknown,,classified,"Avenue des Nerviens 9-31, 1040 Brussels",https://www.fooddrinkeurope.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.839556,4.385614,exact
Insurance Europe,trade association,Brussels,yes,unknown,,classified,"Rue du Champ de Mars 23, 1050 Brussels",https://www.insuranceeurope.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.838563,4.366307,exact
SolarPower Europe,trade association,Brussels,yes,unknown,,classified,,https://www.solarpowereurope.org,2026-07,Seed org: hosts interns; pay and details to verify.,,,
WindEurope,trade association,Brussels,yes,unknown,,classified,,https://windeurope.org,2026-07,Seed org: hosts interns; pay and details to verify.,,,
Hydrogen Europe,trade association,Brussels,yes,unknown,,classified,,https://hydrogeneurope.eu,2026-07,Seed org: hosts interns; pay and details to verify.,,,
EuropaBio,trade association,Brussels,yes,unknown,,classified,,https://www.europabio.org,2026-07,Seed org: hosts interns; pay and details to verify.,50.84146,4.367254,exact
Copa-Cogeca,trade association,Brussels,yes,unknown,,classified,"Rue de Treves 61, 1040 Brussels",https://www.copa-cogeca.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.84352,4.375742,exact
Interel,consultancy,Brussels,yes,unknown,,classified,,https://www.interel.eu,2026-07,Seed org: hosts interns; pay and details to verify.,,,
Kreab Brussels,consultancy,Brussels,yes,unknown,,classified,,https://www.kreab.com,2026-07,Seed org: hosts interns; pay and details to verify.,,,
Rud Pedersen Public Affairs,consultancy,Brussels,yes,unknown,,classified,,https://www.rudpedersen.com,2026-07,Seed org: hosts interns; pay and details to verify.,,,
Cambre Associates,consultancy,Brussels,yes,unknown,,classified,,https://cambre-associates.com,2026-07,Seed org: hosts interns; pay and details to verify.,,,
Acumen Public Affairs,consultancy,Brussels,yes,unknown,,classified,"Rue du Trone 60, 1050 Brussels",https://www.acumenpublicaffairs.com,2026-07,Seed org: hosts interns; pay and details to verify.,50.83811,4.369029,exact
Van Bael & Bellis,law firm,Brussels,yes,unknown,,classified,"Chaussee de La Hulpe 166, 1170 Brussels",https://www.vbb.com,2026-07,Seed org: hosts interns; pay and details to verify.,50.796288,4.404433,exact
White & Case (Brussels),law firm,Brussels,yes,unknown,,classified,"Rue de la Loi 62, 1040 Brussels",https://www.whitecase.com,2026-07,Seed org: hosts interns; pay and details to verify.,50.834334,4.392075,exact
Linklaters (Brussels),law firm,Brussels,yes,unknown,,classified,"Rue Brederode 13, 1000 Brussels",https://www.linklaters.com,2026-07,Seed org: hosts interns; pay and details to verify.,50.840522,4.360783,exact
Jones Day (Brussels),law firm,Brussels,yes,unknown,,classified,"Rue de la Regence 4, 1000 Brussels",https://www.jonesday.com,2026-07,Seed org: hosts interns; pay and details to verify.,50.840696,4.35747,exact
European Data Protection Supervisor (EDPS),EU institution,Brussels,yes,unknown,,classified,"Rue Wiertz 60, 1047 Brussels",https://edps.europa.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.838657,4.375189,exact
European Investment Bank (Brussels office),EU institution,Brussels,yes,unknown,,classified,"Rue de la Loi 227, 1040 Brussels",https://www.eib.org,2026-07,Seed org: hosts interns; pay and details to verify.,50.834334,4.392075,exact
EPP Group,political group,Brussels,yes,unknown,,classified,"Rue Wiertz 60, 1047 Brussels",https://www.eppgroup.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.838657,4.375189,exact
S&D Group,political group,Brussels,yes,unknown,,classified,"Rue Wiertz 60, 1047 Brussels",https://www.socialistsanddemocrats.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.838657,4.375189,exact
Renew Europe,political group,Brussels,yes,unknown,,classified,"Rue Wiertz 60, 1047 Brussels",https://www.reneweuropegroup.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.838657,4.375189,exact
Greens/EFA,political group,Brussels,yes,unknown,,classified,"Rue Wiertz 60, 1047 Brussels",https://www.greens-efa.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.838657,4.375189,exact
POLITICO Europe,media,Brussels,yes,unknown,,classified,"Rue de la Loi 62, 1040 Brussels",https://www.politico.eu,2026-07,Seed org: hosts interns; pay and details to verify.,50.834334,4.392075,exact
Euractiv,media,Brussels,yes,unknown,,classified,,https://www.euractiv.com,2026-07,Seed org: hosts interns; pay and details to verify.,50.844664,4.382515,exact
Culture Action Europe,NGO,Brussels,unknown,unknown,,classified,"Square Sainctelette 19, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.858800,4.347600,exact
SOLIDAR +,NGO,Brussels,unknown,unknown,,classified,"Avenue des Arts 50, 1000 Brussels",https://www.solidar.org/about-solidar-foundation/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.841970,4.367180,exact
Délégation des Barreaux de France,trade union,Brussels,unknown,unknown,,classified,"Avenue de la joyeuse entrée, 1, 1040 Brussels",http://www.dbfbruxelles.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.840580,4.385150,exact
European Forum for Renewable Energy Sources,NGO,Brussels,unknown,unknown,,classified,"Rue d'Arlon, 63-65Renewable Energy House, 1040 Brussels",https://eufores.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.842535,4.374103,exact
Hitachi Europe Ltd.,company,Brussels,unknown,unknown,,classified,"Rue d'Arlon 80, 1040 Brussels",http://www.hitachi.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.841930,4.373310,exact
TOMRA Systems ASA,company,Brussels,unknown,unknown,,classified,"Rue Abbé Cuypers 3, 1040 Brussels",http://www.tomra.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.838160,4.399600,exact
RISE Research Institutes of Sweden AB,think tank,Brussels,unknown,unknown,,classified,"Rue du Luxembourg 3, 1000 Brussels",http://www.ri.se,2026-07,EU Transparency Register; location approximate (postcode-level).,50.840250,4.366910,exact
European Pulp and Paper Chemicals Group AISBL,trade association,Brussels,unknown,unknown,,classified,"Avenue Louise 489reception Steptoe, 1050 Brussels",https://epcg.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.816683,4.371281,exact
Bernstein Public Policy,consultancy,Brussels,unknown,unknown,,classified,"Rue d'Arlon 25, 1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.840140,4.372760,exact
Broadcast Networks Europe,trade association,Brussels,unknown,unknown,,classified,"Rue du Spa 28, B-1000 Brussels",http://www.broadcast-networks.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846451,4.374449,exact
Kangaroo Group,think tank,Brussels,unknown,unknown,,classified,"Rue Wiertz, 11, 1050 Brussels",http://www.kangaroogroup.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.836480,4.374560,exact
Expertise France,public/mixed,Brussels,unknown,unknown,,classified,"Place de Louvain 14, 1000 Brussels",http://www.expertisefrance.fr/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848460,4.362250,exact
DOT Europe,trade association,Brussels,unknown,unknown,,classified,"Avenue Marnix 17, 1000 Brussels",http://www.doteurope.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.839120,4.363990,exact
Municipal Waste Europe,NGO,Brussels,unknown,unknown,,classified,"Rue d'Arlon 63, 1040 Brussels",http://www.municipalwasteeurope.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.842540,4.374110,exact
Association of European Public Postal Operators,trade association,Brussels,unknown,unknown,,classified,"Boulevard Brand Whitlock, 114, 1200 Brussels",http://www.posteurop.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.842940,4.406570,exact
Parkinson's Europe,NGO,Brussels,unknown,unknown,,classified,"C/o Russell Patten42 Rue Lincoln, 1180 Brussels",https://www.parkinsonseurope.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.817037,4.368816,exact
Caritas Europa,NGO,Brussels,unknown,unknown,,classified,"Rue de la Charité 43, 1210 Brussels",http://www.caritas.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847550,4.370470,exact
Assarmatori,trade association,Brussels,unknown,unknown,,classified,"Rond-Point Schuman 2-4, 5th floor, 1040 Brussels",http://www.assarmatori.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.841876,4.383740,exact
Associazione Italiana Internet Provider,trade association,Brussels,unknown,unknown,,classified,"c/o Casa Lombardia – Place du Champ de Mars, 2, B1050 Brussels",http://www.aiip.it,2026-07,EU Transparency Register; location approximate (postcode-level).,50.838779,4.363270,exact
Digital Music Europe,trade association,Brussels,unknown,unknown,,classified,"Square De Meeus 37, 1000 Brussels",https://www.digitalmusiceurope.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.840720,4.368830,exact
CONNECT International,NGO,Brussels,unknown,unknown,,classified,"Avenue de Tervueren 197, 1150 Brussels",https://connect-international.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.836750,4.408910,exact
European Sustainable Phosphorus Platform,NGO,Brussels,unknown,unknown,,classified,"67 rue de Trèves, 1040 Brussels",http://www.phosphorusplatform.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.843830,4.375920,exact
Huis van de Nederlandse Provincies,public authority,Brussels,unknown,unknown,,classified,"Trierstraat / Rue de Trèves, 59-61, 1040 Brussels",http://www.nl-prov.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.843410,4.375720,exact
Humundi (ex-SOS Faim SOS Hunger),NGO,Brussels,unknown,unknown,,classified,"rue aux Laines, 4, 1000 Brussels",https://www.humundi.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.838820,4.356750,exact
European Regional and Local Health Authorities,NGO,Brussels,unknown,unknown,,classified,"EUREGHA SecretariatAvenue du Tervuren 67, 1040 Brussels",http://www.euregha.net,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844517,4.339885,exact
VinylPlus,trade association,Brussels,unknown,unknown,,classified,"Avenue de Cortenbergh 71, 1000 Brussels",http://www.vinylplus.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844460,4.389000,exact
Ridens,consultancy,Brussels,unknown,unknown,,classified,"Rue Belliard 205, 1040 Brussels",https://www.ridenspa.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.839520,4.385180,exact
European Network of Councils for the Judiciary,public authority,Brussels,unknown,unknown,,classified,"Rue de la Croix de Fer, 67, B-1000 Brussels",http://www.encj.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848122,4.365605,exact
Micro-Mobility for Europe,NGO,Brussels,unknown,unknown,,classified,"Boulevard Charlemagne 1, 1041 Brussels",https://micromobilityforeurope.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844690,4.382560,exact
Vlaams Netwerk van Ondernemingen,trade association,Brussels,unknown,unknown,,classified,"Koningsstraat 154, 1000 Brussels",https://www.voka.be/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.850680,4.364160,exact
Alibaba Group,company,Brussels,unknown,unknown,,classified,"Avenue des Arts 44, 1040 Brussels",http://www.alibabagroup.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.842930,4.367690,exact
European Former Foodstuff Processors Association,trade association,Brussels,unknown,unknown,,classified,"Wetstraat, 223, 1040 Brussels",http://www.effpa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.841980,4.384860,exact
European Vegetable Protein Association,trade association,Brussels,unknown,unknown,,classified,"Avenue de Tervueren 188Apostbox 4, 1150 Brussels",http://www.euvepro.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.837112,4.411226,exact
FinMobility ry,trade association,Brussels,unknown,unknown,,classified,"Rue Belliard 40, 1040 Brussels",http://finmobility.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.842110,4.371740,exact
GAIA-X - European Association for Data and Cloud,NGO,Brussels,unknown,unknown,,classified,"Avenue des Arts 6-9, 1210 Brussels",http://www.gaia-x.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848410,4.369770,exact
European Maritime Pilots' Association,trade association,Brussels,unknown,unknown,,classified,"Regentlaan 43-44 Boulevard du Régent, 1000 Brussels",http://www.empa-pilots.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848541,4.372642,approx
European Federation of Engineering Consultancy Associations,trade association,Brussels,unknown,unknown,,classified,"Avenue des Arts 3/4/5, 1210 Brussels",http://www.efcanet.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848490,4.369750,exact
The International Confederation of Paper and Board Converters in Europe,trade association,Brussels,unknown,unknown,,classified,"Avenue Louise, 250, 1050 Brussels",http://www.citpa-europe.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.825210,4.366590,exact
Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,company,Brussels,unknown,unknown,,classified,"Rue du Trone 108, 1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.836550,4.370910,exact
EBU-UER (European Broadcasting Union),trade union,Brussels,unknown,unknown,,classified,"Avenue des Arts 56, 1000 Brussels",https://www.ebu.ch/home,2026-07,EU Transparency Register; location approximate (postcode-level).,50.841110,4.366720,exact
Union Internationale des Cinémas,trade association,Brussels,unknown,unknown,,classified,"155 Rue de la Loi, 1040 Brussels",http://www.unic-cinemas.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.842290,4.379800,exact
"International Institute on Race, Equality and Human Rights",NGO,Brussels,unknown,unknown,,classified,"Rue d'Edimburg 26, 1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.837895,4.364323,exact
European Federation of Pharmaceutical Industries and Associations,trade association,Brussels,unknown,unknown,,classified,"Rue Montoyer 51 (Box 3), 1000 Brussels",http://www.efpia.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.841532,4.367778,exact
Verband Deutscher Verkehrsunternehmen,trade association,Brussels,unknown,unknown,,classified,"c/o UITPRue St. Marie 6, 1080 Brussels",http://www.vdv.de,2026-07,EU Transparency Register; location approximate (postcode-level).,50.855807,4.309785,approx
ETSA (EUROPEAN TEXTILE SERVICES ASSOCIATION),trade association,Brussels,unknown,unknown,,classified,"Rue Belliard 40, 1040 Brussels",http://www.textile-services.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.842110,4.371740,exact
EuroGeographics,public/mixed,Brussels,unknown,unknown,,classified,"Rue du Nord, 76, 1000 Brussels",http://www.eurogeographics.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.850640,4.367500,exact
Knauf Insulation,company,Brussels,unknown,unknown,,classified,"Avenue de Cortenbergh 120, 1000 Brussels",http://www.knauf.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845050,4.389490,exact
Unrepresented Nations and Peoples Organization,NGO,Brussels,unknown,unknown,,classified,"Rue de Trèves 49/51 Brussels, B-1040, 1040 Brussels",http://www.unpo.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.842930,4.375450,exact
RUSI Europe,NGO,Brussels,unknown,unknown,,classified,"46 Avenue des Arts, 1000 Brussels",https://rusieurope.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.842480,4.367440,exact
Norwegian Refugee Council Europe,NGO,Brussels,unknown,unknown,,classified,"Sq. de Meeûs 35, 1000 Brussels",http://www.nrc.no,2026-07,EU Transparency Register; location approximate (postcode-level).,50.840736,4.369369,exact
